Satellite,Pass_Start_UTC,Pass_End_UTC,Duration_Seconds,Min_Sun_Elevation_deg,Max_Elevation_deg,Min_Off_Nadir_deg,Min_Slant_Range_km
GAOFEN DUOMO (GFDM),2026-02-23 06:37:10,2026-02-23 06:37:30,30.0,41.04,76.38,12.32,656.28
GAOFEN 2,2026-02-23 06:44:40,2026-02-23 06:45:20,50.0,42.35,88.21,1.73,629.05
YAOGAN 9A,2026-02-23 06:51:10,2026-02-23 06:51:20,20.0,43.45,74.39,14.0,720.78
GAOFEN 9 04,2026-02-23 07:07:20,2026-02-23 07:07:40,30.0,46.08,84.99,4.71,458.19
GAOFEN 1,2026-02-23 07:27:10,2026-02-23 07:27:50,50.0,49.0,82.48,6.82,653.27
SUPERVIEW NEO-1 01,2026-02-23 07:29:40,2026-02-23 07:30:00,30.0,49.34,83.69,5.82,526.03
YAOGAN-35 A,2026-02-23 07:38:10,2026-02-23 07:38:40,40.0,50.46,82.45,7.14,490.85
GAOFEN 11-05,2026-02-23 07:49:20,2026-02-23 07:49:30,20.0,51.8,77.17,11.89,504.53
YAOGAN-30 S,2026-02-23 08:02:40,2026-02-23 08:02:50,20.0,53.21,75.49,13.44,577.76
JILIN-01-10,2026-02-23 09:06:30,2026-02-23 09:06:40,20.0,56.15,75.17,13.72,516.55
YAOGAN-30 P,2026-02-23 09:23:40,2026-02-23 09:24:20,50.0,55.72,88.65,1.17,562.17
YAOGAN-35 03B,2026-02-23 09:49:00,2026-02-23 09:49:10,20.0,54.23,74.77,13.99,508.59
GAOFEN 12 (03),2026-02-24 06:44:40,2026-02-24 06:45:10,40.0,42.63,81.33,7.9,638.93
YAOGAN-35 A,2026-02-24 07:12:50,2026-02-24 07:13:10,30.0,47.23,78.69,10.61,495.85
GAOFEN-5 02,2026-02-24 07:21:30,2026-02-24 07:21:40,20.0,48.52,75.14,13.35,725.48
JILIN-01 KUANFU 01C,2026-02-24 07:41:50,2026-02-24 07:42:20,40.0,51.26,86.75,3.0,550.88
JILIN-01 GAOFEN 2A,2026-02-24 07:48:10,2026-02-24 07:48:20,20.0,52.01,76.94,12.18,467.45
SUPERVIEW-1 03,2026-02-24 08:03:30,2026-02-24 08:03:40,20.0,53.64,77.32,11.77,460.91
JILIN-01 KUANFU 02B 2,2026-02-24 08:26:10,2026-02-24 08:26:40,40.0,55.43,83.32,6.1,544.73
YAOGAN-30 Q,2026-02-24 08:46:50,2026-02-24 08:47:10,30.0,56.35,78.17,10.76,570.28
JILIN-01-09,2026-02-24 08:54:20,2026-02-24 08:54:40,30.0,56.49,77.36,11.7,520.17
YAOGAN-39 02C,2026-02-24 09:31:30,2026-02-24 09:31:30,10.0,55.75,74.16,14.75,529.36
GAOFEN 5 01A,2026-02-24 09:44:50,2026-02-24 09:45:00,20.0,54.89,74.16,14.27,726.77
GAOFEN 11 2,2026-02-24 10:50:40,2026-02-24 10:51:10,40.0,47.12,84.81,4.92,511.07
YAOGAN 9C,2026-02-25 06:29:50,2026-02-25 06:30:40,60.0,40.28,86.8,2.93,697.6
YAOGAN 9B,2026-02-25 06:32:20,2026-02-25 06:33:00,50.0,40.73,83.14,6.26,702.3
GAOFEN 1-03,2026-02-25 06:44:00,2026-02-25 06:44:20,30.0,42.81,75.46,13.21,661.59
YAOGAN-35 A,2026-02-25 06:47:30,2026-02-25 06:47:40,20.0,43.42,74.13,14.81,504.85
GAOFEN 7,2026-02-25 06:52:40,2026-02-25 06:52:50,20.0,44.3,76.85,12.19,516.31
GAOFEN 6,2026-02-25 06:55:30,2026-02-25 06:56:10,50.0,44.77,84.93,4.68,636.82
YAOGAN-30 T,2026-02-25 07:22:40,2026-02-25 07:22:50,20.0,49.01,74.94,13.72,576.51
JILIN-01 KUANFU 02B 3,2026-02-25 08:29:30,2026-02-25 08:30:10,50.0,56.0,88.15,1.63,547.51
YAOGAN-39 02B,2026-02-25 09:07:30,2026-02-25 09:08:00,40.0,56.87,80.38,8.99,519.44
YAOGAN-39 02C,2026-02-25 09:13:50,2026-02-25 09:14:20,40.0,56.76,87.58,2.36,511.06
YAOGAN-35 05B,2026-02-25 09:42:30,2026-02-25 09:42:40,20.0,55.41,75.52,13.6,481.15
